P++10x12,1,2,3,4,5
1,0.3644,,,,
2,0.6989,,,,
3,0.8036,,,,
4,0.5187,,,,
5,0.5941,0.4957,,,
6,0.6125,0.4782,,,
7,,0.4782,,,
8,,0.4805,,,
9,,0.4805,,,
10,,0.5076,0.6612,,
11,,0.4805,0.6497,,
12,,0.4782,0.5322,,
13,,0.4805,0.4771,,
14,,0.4805,0.4778,,
15,,0.4782,0.5613,,
16,,0.4782,0.5621,,
17,,,0.5911,,
18,,,0.5849,,
19,,,0.4795,,
20,,,0.6371,,
21,,,0.4771,0.5707,
22,,,,0.6364,
23,,,,0.5377,
24,,,,0.5380,
25,,,,0.4805,
26,,,,0.4847,
27,,,,0.5544,
28,,,,0.5730,
29,,,,0.5755,
30,,,,0.5294,
31,,,,0.5742,0.4839
32,,,,0.6112,0.4835
33,,,,,0.4768
34,,,,,0.4769
